epoch,binary_acc_ch0,binary_crossentropy,dice_coef,loss,val_binary_acc_ch0,val_binary_crossentropy,val_dice_coef,val_loss
0,0.9438063615844363,0.08036241414291519,0.25044185552923454,0.3480407106024878,0.9940605958302816,0.016944706672802567,0.24982635863125324,0.31023629009723663
1,0.9878152097974505,0.021177127203416257,0.42543897174653555,0.24253066309860774,0.9826182176669439,0.021204972406849265,0.26348016535242397,0.3073309039076169
2,0.9896051486333212,0.019364541973031703,0.48501675043787273,0.2176120245740527,0.9894771625598272,0.016411246188605826,0.31490737448136014,0.28388385598858196
3,0.9929986227126348,0.014635889214419183,0.5313231192883991,0.19625233042807805,0.9915861884752909,0.01619673954943816,0.2940648744503657,0.292092668513457
4,0.9923320810000101,0.01627421481091352,0.5402084503855024,0.1936811897016707,0.9885820746421814,0.01711694981592397,0.32660331577062607,0.2796284779906273
5,0.9927714608964466,0.014600625660802637,0.574043767792838,0.17914281146866934,0.9860119918982188,0.018504800895849865,0.32637545093894005,0.28055283923943836
6,0.9933662499700274,0.014248317861486049,0.5897667436372667,0.17264250488508315,0.9890576352675756,0.016700828758378822,0.35883928338686627,0.2664849894742171
7,0.9931678431374686,0.013423240610531397,0.6010173076675052,0.16764700554666065,0.9883465518554052,0.017294180269042652,0.36220959077278775,0.2654933122297128
8,0.993755354767754,0.012328648762333961,0.6330644318035671,0.15417153920446122,0.9912365625301996,0.016056370533381898,0.37464407210548717,0.25977689400315285
9,0.9935470393725804,0.013771920198840755,0.627148429552714,0.15740379549208142,0.9873935977617899,0.01868623619278272,0.339979221423467,0.27521954476833344
10,0.9936335881551107,0.013121332618452254,0.6523670128413609,0.14692604399862744,0.9858693132797877,0.020044048394386966,0.34893980746467906,0.272450281927983
11,0.9940288152013507,0.01190355351372134,0.6613837764376685,0.14258855226494016,0.9868490596612295,0.020834764077638585,0.3425297252833843,0.27548858771721524
12,0.9945218818528312,0.01058405012424503,0.6733658143452236,0.13700449502184278,0.9893330683310827,0.017978378338739276,0.39642690246303874,0.25221482912699383
13,0.993353423618135,0.013500361614638851,0.6863239350773039,0.13357079170999073,0.9933073123296102,0.016951811189452808,0.42977744216720265,0.2382591851055622
14,0.994169328893934,0.011731131667537349,0.6941712725730169,0.129370456295354,0.9896027644475301,0.018445882946252823,0.37617218494415283,0.2605989451209704
15,0.9943297931126186,0.011387466053877558,0.7094896293821789,0.12303626253491357,0.9907049139340719,0.01716047680626313,0.39174141238133114,0.2535989210009575
16,0.9943956250236148,0.011278027069887944,0.7173188726107279,0.11983916482755116,0.9873475581407547,0.02026742595868806,0.3853641524910927,0.2580147994061311
17,0.9942746815227327,0.011001812382822945,0.71396594671976,0.12101498423587709,0.9911878307660421,0.018401200727870066,0.3869335825244586,0.25626959403355914
18,0.9945811118398394,0.010812219853202501,0.7321340044339498,0.11363382282711211,0.9906583577394485,0.01821791931676368,0.42567819356918335,0.24065936480959257
19,0.9945690149352664,0.010287820805041563,0.7454517143113273,0.10799212540899004,0.9912522931893667,0.017567601520568132,0.4073398808638255,0.24760358035564423
20,0.9946243138540358,0.010698954973902022,0.7518832456497919,0.1056661219114349,0.9921771933635076,0.017710607809325058,0.45033259068926174,0.23049407824873924
21,0.9946568012237549,0.010218829271339235,0.7537114932423546,0.1046470400123369,0.9926644066969553,0.01765102210144202,0.42304868002732593,0.24137119203805923
22,0.9943574979191735,0.011455997602925413,0.7506443545931861,0.1066161688594591,0.9901513208945593,0.018939175875857472,0.42771810417373973,0.24027701591451964
23,0.9942523893855867,0.011340241945747818,0.7418825058710008,0.11005101246493203,0.9926374355951945,0.019914295834799606,0.3806198053061962,0.25970108558734256
24,0.9936204353968302,0.01337102944740937,0.7492021747997829,0.1083419503910201,0.9936865816513697,0.015575294538090626,0.49450835833946866,0.21154210964838663
25,0.9945323155039832,0.011008478080232939,0.7438192566235861,0.10907750683171409,0.9906171460946401,0.019851410451034706,0.4221463178594907,0.24305168042580286
26,0.9945494390669323,0.010331874358512107,0.7841704175585792,0.09253074867384774,0.9928276439507803,0.016830345382913947,0.48511683320005733,0.21605212862292925
27,0.9949175374848502,0.008987222620773883,0.7910761010079157,0.0889618368375869,0.9902385671933492,0.019705298434322078,0.4537851884961128,0.23030870159467062
28,0.995032168570019,0.009089641539113862,0.7955769981656756,0.08722303523903802,0.9911740074555079,0.018775579597180087,0.47102096925179165,0.22285597026348114
29,0.9950138983272371,0.00899897331726693,0.7938359606833685,0.08786520007110778,0.9940937360127767,0.016114256732786696,0.5273338705301285,0.19873497945566973
30,0.994857981091454,0.00966679360274048,0.8008420353844052,0.08546348696663267,0.993554542462031,0.01611893771526714,0.5266376857956251,0.19901584833860397
31,0.9951065693582807,0.008677971615855182,0.8106150683902559,0.08096071084340413,0.9944891730944315,0.01589502751206358,0.5286115172008673,0.19809124370416006
32,0.9949101238023668,0.009008503940311215,0.8179459543455214,0.07822682069880622,0.9935333679119746,0.01618220517411828,0.5294243693351746,0.19793973863124847
33,0.9953119981856573,0.007866086815262125,0.8245418270428976,0.07490288359778267,0.992798775434494,0.01684016959431271,0.5187725598613421,0.20259512898822626
34,0.9951266135488238,0.008280076263915925,0.8236440107935951,0.07551058310837973,0.9925141036510468,0.017309674915547173,0.5160934800903002,0.20394746152063212
35,0.995261916092464,0.007894984424291622,0.8291008500825792,0.07309656448307492,0.9922044972578684,0.017907566934203107,0.5112252210577329,0.20625356833140054
36,0.9949773408117748,0.008419805139835392,0.8278291367349171,0.07392032763787679,0.9930167893568674,0.016796258666242164,0.5270353307326635,0.1992628083874782
37,0.9952848213059562,0.007773635199382191,0.8280798367091587,0.07343246752307528,0.9934564232826233,0.01752015808597207,0.4952080448468526,0.21242853502432504
38,0.9952827237901234,0.007800002050186906,0.8374923240570795,0.06968323762218158,0.9927189747492472,0.01817616696159045,0.49349331359068555,0.21350887169440588
39,0.9953518112500509,0.007091621025687172,0.8500142835435414,0.0642491744032928,0.9935894658168157,0.017671708405638736,0.5237631226579348,0.20109655459721884
40,0.9954852433431716,0.006984742602244729,0.8458652240889413,0.0658448828118188,0.9915272494157156,0.019831793072323006,0.4764248530069987,0.2213283528884252
41,0.9950997715904599,0.007786452415443602,0.8499722196942284,0.0646830110677651,0.993833194176356,0.016717090271413326,0.5112164268891016,0.20554369688034058
42,0.9952100004468646,0.007450957826915241,0.8487303938184466,0.06497836077497118,0.9929102957248688,0.018091290568312008,0.5343636398514112,0.19710921496152878
43,0.9954773897216433,0.00725345541944816,0.8558201789855957,0.06202395845736776,0.9924192428588867,0.019120644700403016,0.5229132920503616,0.2023073434829712
44,0.9952683704239982,0.007314743917612802,0.8533926577795119,0.06303163404975619,0.9938291807969412,0.016638543068741758,0.5548049360513687,0.18806126900017262
45,0.9954860040119716,0.006882483405726296,0.8624044117473421,0.05916772197399821,0.9925910433133444,0.0188998404579858,0.5009785989920298,0.21094831575949988
46,0.995369071052188,0.00693155164342551,0.8679858786719186,0.05696456826158932,0.9938077429930369,0.016707693769906957,0.5595666617155075,0.1861982848495245
47,0.9955658543677557,0.00671839119777793,0.8619399950617835,0.059255056792781466,0.9952970345815023,0.014724627447625002,0.5880464712778727,0.1736161926140388
48,0.9953891237576803,0.00705433798776496,0.8652262574150449,0.05814196577384358,0.993028591076533,0.018388130081196625,0.5529000237584114,0.1898726218690475
49,0.9954386381875902,0.006937607812384765,0.8702981046267918,0.05604327168493044,0.9934346526861191,0.017424945331489045,0.5500140835841497,0.19044918132325014
50,0.995601889632997,0.006452174968130532,0.8694620160829454,0.0560864612814926,0.9937711358070374,0.01719198244002958,0.5706009715795517,0.18207521550357342
51,0.9952447386015029,0.007241355432640938,0.8643800900095985,0.05859281583910897,0.995067889491717,0.014679736457765102,0.5987920959790548,0.16929160244762897
52,0.9953891209193638,0.007368740891771657,0.8647556617146447,0.058519022805350165,0.9937141338984171,0.018069776939228177,0.5538394624988238,0.18930626350144544
53,0.9953967786970592,0.006924315377892483,0.8727149452481952,0.05506861032474609,0.9937281906604767,0.017770784596602123,0.5593189696470896,0.18693497776985168
54,0.9955806419962928,0.006488208259854998,0.8718848370370411,0.05513899702401388,0.9951063891251882,0.015446854988113046,0.6181462084253629,0.16200872386495271
55,0.9953020498866126,0.007242463994771242,0.8778981878643944,0.05318618423881985,0.9926284005244573,0.019561542896553874,0.5359039008617401,0.1973750957598289
56,0.9954268222763425,0.006853760907515174,0.8753320234162467,0.053979557539735525,0.9947256942590078,0.016492589415671926,0.5858635008335114,0.17555004668732485
57,0.9955397787548247,0.006582104068781648,0.8803442489533198,0.05181158688806352,0.9944236079851786,0.01731799589470029,0.5420006364583969,0.19359053298830986
58,0.9955238075483412,0.006323714784923054,0.8843421112923395,0.05005747612033572,0.9940658658742905,0.018105510583457846,0.5687691867351532,0.1833556623508533
59,0.9954783973239717,0.00672350103212964,0.881847103436788,0.05129524817069372,0.9941624651352564,0.017597467948993046,0.5719520077109337,0.1817772158732017
60,0.9953226163273766,0.006899851950861159,0.8842579211507525,0.050436731782697496,0.9938593953847885,0.0196130092566212,0.5567355727156004,0.18907344962159792
61,0.9958394680704389,0.00588998535559291,0.8849190019425892,0.04956644312256858,0.9931719303131104,0.020520095092554886,0.5214827656745911,0.20371820901830992
62,0.9955527470225379,0.0063320800351599855,0.886381691410428,0.04924651288560459,0.9956407248973846,0.01539695953639845,0.6148552844921747,0.16329584084451199
63,0.9954568715322585,0.006631089973130396,0.8857796788215637,0.049666761997200194,0.9955402463674545,0.015395403141155839,0.6053124492367109,0.167112090314428
64,0.9956704406511216,0.006269057746976614,0.8876759466670808,0.04869109072855541,0.9945188959439596,0.01721915858797729,0.581258604923884,0.1778282169252634
65,0.9955390152477083,0.006196170623990751,0.8912575528735206,0.047214637200037636,0.9938234686851501,0.019494800673176844,0.5246681968371073,0.20183029025793076
66,0.9956825432323274,0.0060654849124451475,0.8883472766195025,0.048300269281580335,0.9945044169823328,0.017141905419218045,0.590250718096892,0.17418521828949451
67,0.9954184009915307,0.006479037836903618,0.8942362666130066,0.04619281792214939,0.9965394039948782,0.013922469418806335,0.6609909137090048,0.1439573938647906
68,0.9955640832583109,0.006354984605596179,0.890749664533706,0.047513091493220555,0.9937583307425181,0.01879091157267491,0.5428567081689835,0.19413219143946966
69,0.99544510387239,0.006731466478889897,0.8879252530279613,0.04886891480003085,0.9941401282946268,0.018585708069925506,0.5741973780095577,0.18147237164278826
70,0.9955263393265861,0.0060666963635456,0.8932462419782367,0.046341472083613985,0.9956699311733246,0.017315813650687534,0.5652658591667811,0.1842836911479632
71,0.9956149969782148,0.00619814099211778,0.8958711453846523,0.04537044997726168,0.996212974190712,0.014706758898682892,0.6400990933179855,0.15278463096668324
72,0.9956490965116591,0.006145512884748834,0.8952389671688988,0.04559185355901718,0.9953016340732574,0.015410700036833683,0.5974446112910906,0.1702684306850036
73,0.9954207000278291,0.00629707867102254,0.8950675073124114,0.04575124968375478,0.9943261643250784,0.01857413724064827,0.5832213262716929,0.17785606843729815
74,0.9955616990725199,0.006137472000860032,0.8982141755876087,0.04439675612818627,0.9954613844553629,0.016610166795241337,0.6348000590999922,0.1560470492889484
75,0.9956632653872172,0.006127191640968833,0.8954418159666515,0.04549946298911458,0.9938531120618185,0.018826228100806475,0.5835410182674726,0.17788027475277582
76,0.995577905859266,0.006107321918188106,0.896540329569862,0.04504818895033428,0.9939576933781306,0.018219853828971583,0.5823429400722185,0.17799421089390913
77,0.9956428323473249,0.006132243755495264,0.8953492442766825,0.04553959500931558,0.9963438212871552,0.015262091221908728,0.6422180756926537,0.15227118413895369
78,0.9957947872933888,0.006237140634939784,0.8926006243342445,0.046702033352284206,0.9954376022020975,0.01671828298519055,0.6119325781861941,0.16525847340623537
79,0.9952865015892756,0.0068493507403348175,0.8999939674422854,0.044111910675253184,0.9952245155970255,0.01630273973569274,0.5926218032836914,0.17273235445221266
80,0.9954514645394825,0.0068925304471382075,0.8913129284268334,0.04761030489490146,0.9947971055905024,0.017720625658209126,0.5865874538818995,0.17599704737464586
81,0.9954930856114342,0.0068645294356559005,0.8929494676135835,0.046939053173576085,0.9935343811909357,0.020977343975876767,0.5842284634709358,0.1788947389771541
82,0.995699771812984,0.005944238487808477,0.8962404075123015,0.0450704496886049,0.9950308700402578,0.018522886248926323,0.6026814381281534,0.17004198270539442
83,0.9954653893198285,0.00640821514562482,0.9031282237597874,0.04259365726084936,0.9928135971228281,0.021974622271955013,0.5134634077548981,0.20779882123072943
84,0.9955525142805917,0.006253129669598171,0.9008681092943464,0.04340461606071109,0.9945769906044006,0.02011161483824253,0.5303058450420698,0.19994520271817842
85,0.9956299634206862,0.005996864876665529,0.9026229211262294,0.042548882287173045,0.9938179552555084,0.01925431191921234,0.5721821387608846,0.18267928001781306
86,0.9957285267966134,0.005922851817948478,0.8993599556741261,0.043809635121197926,0.9950970957676569,0.017477899906225502,0.60831651588281,0.1671602719773849
87,0.9954182647523426,0.006086916840147404,0.9075519130343482,0.040631423926069624,0.9940184752146403,0.018979907501488924,0.5813635637362798,0.17884246446192265
88,0.9957771727016994,0.005875038470895518,0.8977670839854649,0.044418120490653176,0.9934033453464508,0.021142147481441498,0.5337360004583994,0.19919021800160408
89,0.9953172632626125,0.006982758907335145,0.8971050410043626,0.04534758308104107,0.9946032911539078,0.018533907442664106,0.617243674894174,0.1642240174114704
90,0.9953938126564026,0.006680668664297887,0.9004277728852772,0.04383733513809386,0.9954977085192999,0.018605068093165755,0.5975114305814108,0.17215849893788496
91,0.9956584317343575,0.006600973085455951,0.8977539993467785,0.044859033255350025,0.9947655449310938,0.016942598779375356,0.6015702709555626,0.16953780564169088
92,0.9953826637495131,0.006698618110801492,0.9027325908342997,0.04292602074288186,0.9969624678293864,0.013407053775154054,0.6843640406926473,0.13429794119050106
93,0.9956379078683399,0.006058330425903911,0.9023057562964303,0.04271269784796806,0.9960699677467346,0.015024217776954174,0.6214254846175512,0.1604454219341278
94,0.9959267775217692,0.005998422147794848,0.9012899994850159,0.043083017958062034,0.996498723824819,0.016652065911330283,0.6370497855047385,0.15517012619723877
95,0.9951781829198202,0.00675703352317214,0.9031312664349874,0.042801757830949055,0.996376226345698,0.017795891035348177,0.5870525141557058,0.17585665360093117
96,0.9955219370978219,0.006692293521371626,0.9005335257166908,0.043802058412915186,0.9963330328464508,0.01284650720966359,0.6694032897551855,0.13994674384593964
97,0.9954835148084731,0.006667111357230516,0.905904505934034,0.04163837184508642,0.9950139572223028,0.019186178067078192,0.6094679435094198,0.16772486766179404
98,0.995364629086994,0.00654795380043132,0.9071368064199176,0.041074108864579885,0.9964798887570699,0.017413035966455936,0.5969842150807381,0.17165550713737807
99,0.995707284836542,0.006183758400203217,0.8997754681678045,0.043800030258439836,0.9950210650761923,0.017323628688851993,0.5731092592080435,0.18115074187517166
100,0.995532751083374,0.006329945133378108,0.9061095260438465,0.041354322185118995,0.9964124113321304,0.013373569042111436,0.6740874350070953,0.13838858902454376
101,0.9956714879898798,0.005754738336517697,0.9088209356580462,0.03992442697996185,0.9968888908624649,0.014185254190427562,0.686935101946195,0.13373728841543198
102,0.9956484749203637,0.006116740538605622,0.9065005949565342,0.04106978114162173,0.9950311183929443,0.017424021808740992,0.610958144068718,0.16607048052052656
103,0.9957257480848403,0.005606521297955797,0.9105659439450219,0.039137654716060274,0.9962692310412725,0.015205831460965177,0.6580367982387543,0.14590881144007048
104,0.9954791636694045,0.006023919586801813,0.9085184676306588,0.040206899955159144,0.9956361850102743,0.0165306767836834,0.6391989936431249,0.15423859966297945
105,0.9957712917100816,0.005458954599730316,0.9101817096982684,0.03920272844178336,0.9963531295458475,0.015864843075784545,0.6565931985775629,0.146881232659022
106,0.9957975546518961,0.005597426799968595,0.9123708009719849,0.03841023803466842,0.9959468940893809,0.01614474788463364,0.6346562256415685,0.1558237678060929
107,0.995491121496473,0.00620328803502378,0.9101230587278094,0.03967266015353657,0.9955794413884481,0.01686694729141891,0.6237646217147509,0.16061442842086157
108,0.9955800147283644,0.005952525196508283,0.9118639401027134,0.03882591213498797,0.9958266814549764,0.016195564530789852,0.6048372735579809,0.16778209308783212
109,0.9955360435304188,0.0058325947084951965,0.9114851242020017,0.03890548043307804,0.9958087503910065,0.01622924456993739,0.6430757989486059,0.1525077143063148
110,0.9959071675936381,0.005582937915321617,0.9068424559774853,0.04061280705389522,0.9959175884723663,0.016656712008019287,0.650943453113238,0.14961638239522776
111,0.995508591334025,0.006112097740350734,0.9125537474950155,0.038645786011502856,0.9964834054311117,0.014051511922540763,0.67362891882658,0.13897973050673804
112,0.995526617481595,0.005813975308445238,0.9114581119446528,0.03890512378088066,0.9961654096841812,0.015341648637938002,0.6547720928986868,0.14729582766691843
113,0.9957131629898435,0.0058443207914630575,0.9083280648503985,0.04017528146505356,0.9956520994504293,0.01626157822708289,0.6581762358546257,0.14648637361824512
114,0.9958462601616269,0.005399481459919896,0.9116552557264056,0.038577629874149956,0.9962658832470576,0.015206098090857267,0.6689674233396848,0.1415371230492989
115,0.9954670667648315,0.006083221618263494,0.9117735198565892,0.03894051803009851,0.9963849435249964,0.015383475770552954,0.6518612379829088,0.14848617122819027
116,0.9954517029580616,0.006317244376987219,0.9112096684319633,0.0393065380908194,0.996305247147878,0.015026866574771702,0.6566342189908028,0.1463622593631347
117,0.9958339220001584,0.005556226353205386,0.9082600076993307,0.04002967512323743,0.9958738138278326,0.01623648024785022,0.6422215923666954,0.15285414643585682
118,0.9958166962578183,0.005565663954863946,0.9092121748697191,0.03965459409214202,0.995686853925387,0.016656294465065002,0.6343626628319422,0.1562486713131269
119,0.9954921773501805,0.006037278123022545,0.91386140812011,0.038077798805066516,0.996386448542277,0.015407238776485125,0.6661992594599724,0.14276429265737534
120,0.9956693450609843,0.005659663218206593,0.9140750623884655,0.037765725914921076,0.9969242066144943,0.013645985862240195,0.6839538464943568,0.13460572467496
121,0.9957109604563031,0.005792643298350629,0.9108588099479675,0.03913195307056109,0.9966037174065908,0.014159205524871746,0.6824632237354914,0.1355094164609909
122,0.9959411791392735,0.005353360037718501,0.9100498812539237,0.039192049453655876,0.9953445096810659,0.017100436768184107,0.6266493573784828,0.159600385154287
123,0.9953659205209642,0.006223990049745355,0.9135272900263468,0.0383235045841762,0.9965180605649948,0.01471371587831527,0.6546144584814707,0.14698373029629389
124,0.9957400986126491,0.005730995597938697,0.9103564563251677,0.03929606026836804,0.9962020913759867,0.016105184176315863,0.6174376606941223,0.16268867130080858
125,0.9956236935797191,0.005768458403292156,0.913446341242109,0.03808253772911571,0.9955620914697647,0.017780773108825088,0.6202557409803072,0.1625665109604597
126,0.9957369310515267,0.005638073331543377,0.9098034245627267,0.03946155327416602,0.996455599864324,0.016366103198379278,0.6111906866232554,0.1653429977595806
127,0.9955693909100124,0.0059908235312572545,0.9124389972005572,0.03861883885803677,0.9964199463526408,0.01465991414928188,0.6594523737827936,0.14501426399995884
128,0.9956643581390381,0.005856082486432223,0.9109499227432978,0.03913381997318495,0.995464896162351,0.01615802590580036,0.6310292333364487,0.15728339242438474
129,0.9956629276275635,0.005809284436206023,0.9120981324286688,0.03864640174877076,0.9969916045665741,0.014352679097404083,0.6449762632449468,0.15062160417437553
130,0.995819472131275,0.005902506444337112,0.9112607098761059,0.0390372100685324,0.9966836671034495,0.014905346091836691,0.6366629550854365,0.15427868564923605
131,0.9955237564586458,0.005826658635799374,0.9140413034529913,0.037879428781923796,0.9964547753334045,0.014370283965642253,0.6704661324620247,0.14043469664951166
132,0.9957009099778675,0.00539146066598949,0.914546841666812,0.037416081077286174,0.9964139064153036,0.014624377634997169,0.6642928247650465,0.1430582646280527
133,0.9956623031979516,0.005923191196329537,0.9129073761758351,0.03839113084333284,0.9963755657275518,0.014795619994401932,0.6610793247818947,0.14444552920758724
134,0.9955219825108846,0.005833604373037815,0.915970158009302,0.03711214360027086,0.9962380826473236,0.015113073323542872,0.6558399796485901,0.1467319435129563
135,0.9958112921033587,0.005523149711301639,0.911609757514227,0.03867001334826151,0.9962898294130961,0.015610171481966972,0.6187314341465632,0.16187341635425886
136,0.9957064674014137,0.005613874599692367,0.9141728253591628,0.037699208284417786,0.996241440375646,0.01501315696320186,0.6586823289593061,0.14553370140492916
137,0.9954593664123899,0.0059744203019709815,0.9150095667157855,0.03758081084205991,0.9963003844022751,0.014909835571112732,0.6609155759215355,0.1445795986801386
138,0.9957569355056399,0.005424188028666235,0.9149107280231658,0.03729035350538436,0.9965311288833618,0.0146134775908043,0.6655837669968605,0.1425346185763677
139,0.9955796826453436,0.006019332579204014,0.9108518134979975,0.03927088848182133,0.9963517884413401,0.014927477265397707,0.6629775812228521,0.14376562709609667
140,0.9958532991863432,0.0054015181515188445,0.910487501394181,0.03904592529648826,0.9963748008012772,0.014828412366720537,0.6601476271947225,0.14483753157158694
141,0.9954613674254644,0.005879719830339863,0.9165409349259876,0.03691154363609496,0.9962508082389832,0.015145492041483521,0.6567137390375137,0.14640252105891705
142,0.9959605563254583,0.005442148074507713,0.9083961220014662,0.039906868090232216,0.9963019788265228,0.015062467311508954,0.6563525795936584,0.14649613946676254
143,0.9954727519126165,0.0057344563704516205,0.91848433585394,0.03604688601834433,0.9961850792169571,0.015410512026088933,0.6523690496881803,0.14829957857728004
144,0.9957963540440514,0.005541258713319188,0.9111440777778625,0.03886710728208224,0.996387705206871,0.014961612643674016,0.6584920908013979,0.14558083936572075
145,0.9955256183942159,0.0058987004948513845,0.9169187801224845,0.03677172054137502,0.9962140619754791,0.015359652733119825,0.6561179856459299,0.1467694869885842
146,0.9958212404024034,0.005279031005643663,0.9119504122507005,0.038387229932206016,0.9963005483150482,0.016122295055538416,0.6115003923575083,0.16507352391878763
147,0.995639633564722,0.0058539702246586485,0.9145241124289376,0.03770269435786065,0.9962785243988037,0.015247890764536956,0.6562502607703209,0.14664795311788717
148,0.9958301810991197,0.005493602582386562,0.9080999578748431,0.040056160872890836,0.9963098565737406,0.01495802883679668,0.6583388720949491,0.14563964245220026
149,0.9954682560194106,0.0058557749504134764,0.9189863999684652,0.035918957952942164,0.9962572604417801,0.015095579825962583,0.6581592013438543,0.1457938520858685
